year,Casualty_ratio
2010,1.125
2010,1.25
2010,1.2
2010,1.3333333333333333
2010,3.0
2010,2.5
2010,2.25
2010,1.5
2010,1.25
2004,2.5
2010,3.5
2010,4.0
2011,1.5
2010,2.0
2006,4.0
2006,1.6
2006,2.0
2010,2.857142857142857
2010,5.0
2010,2.0
2011,1.1666666666666667
2003,1.4
2004,3.1724137931034484
2004,2.0
2004,2.0
2004,1.25
2004,2.0
2004,1.0833333333333333
2008,1.1111111111111112
2005,1.25
2009,0.75
2006,1.25
2010,1.7142857142857142
2006,1.4878048780487805
2008,2.4
2006,1.3333333333333333
2007,2.5
2007,2.2222222222222223
2007,1.7
2007,2.25
2007,2.0
2008,1.75
2008,2.4
2008,1.25
2008,1.3333333333333333
2009,1.6666666666666667
2008,1.0909090909090908
2008,1.2
2009,1.25
2009,1.4
2009,1.7142857142857142
2009,1.1666666666666667
2009,1.8571428571428572
2009,1.1538461538461537
2009,1.3333333333333333
2009,8.0
2009,9.0
2009,1.3333333333333333
2009,1.4285714285714286
2009,2.3333333333333335
2009,1.3333333333333333
2009,1.4
2009,2.6666666666666665
2009,1.3333333333333333
2009,1.0666666666666667
2010,1.5
2010,2.0
2010,1.3333333333333333
2010,2.1666666666666665
2010,1.6
2010,1.5
2010,2.0
2010,2.0
2010,1.75
2010,1.25
2011,1.75
2010,1.5
2010,1.25
2010,1.3333333333333333
2010,1.3333333333333333
2010,1.5
2004,1.3333333333333333
2010,2.0
2012,1.5
2012,2.0
2012,2.0
2012,1.3333333333333333
2012,1.3333333333333333
2012,1.6
2012,1.3333333333333333
2012,2.0
2012,2.0
2012,1.875
2012,2.0
2012,1.3333333333333333
2012,1.5
2012,1.3333333333333333
2012,2.3333333333333335
2012,1.5555555555555556
2012,1.75
2012,1.25
2012,1.5
2012,5.0
2012,3.5
2012,4.0
2012,1.5
2012,2.5
2012,1.625
2008,1.2
2008,1.8333333333333333
2008,1.25
2009,1.7222222222222223
2009,1.25
2009,1.2222222222222223
2009,9.0
2009,3.0
2009,1.3833333333333333
2009,6.666666666666667
2009,3.0
2011,1.5
2010,1.6666666666666667
2010,1.6666666666666667
2010,1.5
2004,2.0
2004,2.0
2004,1.5
2004,1.5
2009,4.0
2004,1.5
2008,0.6666666666666666
2010,3.0
2010,2.0
2010,2.0
2010,3.0
2010,3.0
2012,1.5
2008,1.5
2009,0.75
2012,0.6666666666666666
2009,1.5
2012,1.5
2009,0.6666666666666666
2008,1.5
2013,1.0344827586206897
2010,1.1428571428571428
2009,1.2
2010,1.5
2010,0.6666666666666666
2010,1.2
2013,1.1666666666666667
2013,0.8571428571428571
2009,2.0
2009,0.5
2009,1.2
2009,2.0
2010,2.0
2010,0.5
2009,1.3333333333333333
2012,1.1666666666666667
2009,2.0
2012,0.6666666666666666
2009,0.8
2009,0.5
2009,2.0
2014,1.1428571428571428
2012,1.125
2009,1.3333333333333333
2008,2.0
2008,0.5
2008,2.0
2008,2.0
2008,0.5
2009,2.0
2009,1.1428571428571428
2008,2.0
2008,0.5
2008,0.5
2008,0.5
2008,2.0
2008,0.5
2008,2.0
2008,2.0
2008,2.0
2008,1.3333333333333333
2008,0.75
2010,2.0
2010,0.5
2008,1.3333333333333333
2008,0.75
2008,1.5
2008,0.6666666666666666
2008,1.5
2008,0.6666666666666666
2008,1.2
2008,0.8333333333333334
2010,1.1428571428571428
2008,2.0
2008,0.5
2009,2.0
2008,1.5
2008,1.5
2008,2.0
2008,1.25
2008,0.8
2010,0.8333333333333334
2010,1.2
2010,1.2
2008,2.0
2008,0.5
2008,2.0
2008,2.0
2008,2.0
2008,2.0
2008,2.0
2008,0.5
2009,1.2
2014,1.5
2014,1.5
2014,1.1428571428571428
2014,0.8
2014,0.8571428571428571
2009,1.0625
2009,1.0714285714285714
2009,0.9333333333333333
2014,0.6666666666666666
2007,2.875
2011,2.0
2011,0.8888888888888888
2011,0.5
2011,0.8
2011,1.25
2011,1.25
2008,1.25
2011,2.0
2010,1.5
2010,2.0
2010,2.0
2010,0.5
2010,0.5
