End_date,Casualty_ratio
2008-10-11T00:00:00,2.0
2008-10-11T00:00:00,0.5
2009-10-17T00:00:00,2.0
2009-10-12T00:00:00,1.1428571428571428
2008-10-23T00:00:00,2.0
2008-10-22T00:00:00,0.5
2008-10-22T00:00:00,0.5
2008-10-22T00:00:00,0.5
2008-10-22T00:00:00,2.0
2008-10-23T00:00:00,0.5
2008-10-22T00:00:00,2.0
2008-10-22T00:00:00,2.0
2008-10-22T00:00:00,2.0
2008-08-24T00:00:00,1.3333333333333333
2008-08-24T00:00:00,0.75
2010-02-05T00:00:00,2.0
2010-02-05T00:00:00,0.5
2008-11-03T00:00:00,1.3333333333333333
2008-11-03T00:00:00,0.75
2008-10-16T00:00:00,1.5
2008-10-16T00:00:00,0.6666666666666666
2008-09-29T00:00:00,1.5
2008-09-29T00:00:00,0.6666666666666666
2008-09-14T00:00:00,1.2
2008-09-14T00:00:00,0.8333333333333334
2010-02-04T00:00:00,1.1428571428571428
2008-10-21T00:00:00,2.0
2008-10-21T00:00:00,0.5
2009-07-18T00:00:00,2.0
2008-09-17T00:00:00,1.5
2008-09-17T00:00:00,1.5
2008-09-17T00:00:00,2.0
2008-11-07T00:00:00,1.25
2008-11-07T00:00:00,0.8
2010-02-02T00:00:00,0.8333333333333334
2010-02-02T00:00:00,1.2
2010-02-02T00:00:00,1.2
2008-09-20T00:00:00,2.0
2008-09-20T00:00:00,0.5
2008-10-19T00:00:00,2.0
2008-10-19T00:00:00,2.0
2008-10-19T00:00:00,2.0
2008-10-19T00:00:00,2.0
2008-10-19T00:00:00,2.0
2008-10-08T00:00:00,0.5
2009-09-19T00:00:00,1.2
2014-11-07T00:00:00,1.5
2014-08-19T00:00:00,1.5
2014-10-03T00:00:00,1.1428571428571428
2014-11-01T00:00:00,0.8
2014-10-26T00:00:00,0.8571428571428571
2009-09-06T00:00:00,1.0625
2009-09-05T00:00:00,1.0714285714285714
2009-09-05T00:00:00,0.9333333333333333
2014-12-10T00:00:00,0.6666666666666666
2007-12-26T00:00:00,2.875
2011-06-17T00:00:00,2.0
2011-05-01T00:00:00,0.8888888888888888
2011-06-17T00:00:00,0.5
2011-01-25T00:00:00,0.8
2011-01-25T00:00:00,1.25
2011-01-25T00:00:00,1.25
2008-07-19T00:00:00,1.25
2011-07-27T00:00:00,2.0
2010-11-11T00:00:00,1.5
2010-01-21T00:00:00,2.0
2010-01-21T00:00:00,2.0
2010-01-21T00:00:00,0.5
2010-01-21T00:00:00,0.5
2011-05-08T00:00:00,2.0
2011-05-08T00:00:00,2.0
2011-05-08T00:00:00,0.5
2010-07-12T00:00:00,0.75
2010-03-26T00:00:00,0.6666666666666666
2010-03-26T00:00:00,1.5
2010-03-26T00:00:00,1.5
2014-09-23T00:00:00,1.1666666666666667
2014-09-23T00:00:00,0.8571428571428571
2014-06-28T00:00:00,1.1111111111111112
2010-05-23T00:00:00,4.0
2010-05-23T00:00:00,3.2857142857142856
2009-10-11T00:00:00,1.1
2010-03-31T00:00:00,1.3333333333333333
2010-03-20T00:00:00,1.3333333333333333
2010-03-20T00:00:00,0.75
2010-05-29T00:00:00,0.8
2010-06-20T00:00:00,1.25
2010-06-20T00:00:00,0.8
2010-04-11T00:00:00,1.2
2010-03-29T00:00:00,1.2
2010-07-12T00:00:00,1.3333333333333333
2010-04-22T00:00:00,1.0909090909090908
2010-07-21T00:00:00,1.3333333333333333
2010-07-21T00:00:00,0.75
2010-04-29T00:00:00,1.1428571428571428
2010-03-14T00:00:00,3.0
2009-11-14T00:00:00,1.5
2009-11-14T00:00:00,0.6666666666666666
2010-08-01T00:00:00,1.1428571428571428
2012-01-01T00:00:00,1.3333333333333333
2010-05-16T00:00:00,1.0769230769230769
2010-05-16T00:00:00,0.9285714285714286
2010-03-19T00:00:00,0.5
2012-01-01T00:00:00,0.75
2009-06-28T00:00:00,0.5
2009-06-28T00:00:00,0.5
2009-06-28T00:00:00,0.5
2009-06-28T00:00:00,2.0
2009-06-28T00:00:00,2.0
2009-06-28T00:00:00,2.0
2009-06-28T00:00:00,2.0
2010-05-06T00:00:00,0.875
2010-05-06T00:00:00,1.1428571428571428
2010-01-01T00:00:00,2.0
2010-01-01T00:00:00,0.5
2007-11-24T00:00:00,1.125
2007-11-23T00:00:00,1.125
2007-11-25T00:00:00,1.25
2007-11-22T00:00:00,1.105263157894737
2009-09-14T00:00:00,1.125
2015-01-15T00:00:00,1.1666666666666667
2015-02-04T00:00:00,1.0833333333333333
2015-03-28T00:00:00,2.0
2015-04-12T00:00:00,2.0
2015-04-18T00:00:00,1.1666666666666667
2015-05-13T00:00:00,1.0930232558139534
2015-05-20T00:00:00,1.0666666666666667
2015-06-17T00:00:00,0.9230769230769231
2015-06-17T00:00:00,1.0833333333333333
2015-06-28T00:00:00,1.15
2015-08-06T00:00:00,1.75
2015-09-13T00:00:00,0.8888888888888888
2015-10-22T00:00:00,0.9090909090909091
2015-10-22T00:00:00,1.1
2015-08-20T00:00:00,1.0476190476190477
2015-11-22T00:00:00,2.6666666666666665
2015-09-13T00:00:00,1.125
2009-01-31T00:00:00,23.5
2010-07-08T00:00:00,1.0714285714285714
2010-08-23T00:00:00,1.7333333333333334
2010-04-05T00:00:00,1.1777777777777778
2012-08-10T00:00:00,0.8571428571428571
2010-08-01T00:00:00,0.875
2010-04-29T00:00:00,0.875
2010-03-02T00:00:00,1.4285714285714286
2010-01-23T00:00:00,2.5
2010-03-26T00:00:00,0.6666666666666666
2012-04-15T00:00:00,4.0
2010-07-22T00:00:00,0.95
2010-06-14T00:00:00,1.1666666666666667
2010-04-22T00:00:00,1.3
2010-04-30T00:00:00,0.9090909090909091
2010-01-23T00:00:00,3.0
2007-03-30T00:00:00,23.0
2010-01-03T00:00:00,2.0
2010-01-31T00:00:00,0.8
2010-03-26T00:00:00,0.6666666666666666
2010-05-01T00:00:00,0.875
2012-09-15T00:00:00,0.75
2007-08-19T00:00:00,1.0833333333333333
2012-08-28T00:00:00,1.8
2012-03-07T00:00:00,0.8888888888888888
2010-03-04T00:00:00,1.2222222222222223
2010-03-28T00:00:00,1.7142857142857142
2010-06-01T00:00:00,1.1111111111111112
2010-06-24T00:00:00,3.125
2010-07-01T00:00:00,1.1
2010-12-10T00:00:00,1.2
2011-05-25T00:00:00,1.5
2011-12-26T00:00:00,0.75
2012-07-24T00:00:00,0.75
2010-10-26T00:00:00,1.1666666666666667
2010-07-15T00:00:00,0.875
2010-05-03T00:00:00,1.3076923076923077
2010-05-14T00:00:00,0.75
2009-01-28T00:00:00,0.8
2007-04-09T00:00:00,2.5
1995-03-12T00:00:00,1.5
1995-05-22T00:00:00,1.2307692307692308
2010-07-15T00:00:00,1.25
1999-01-04T00:00:00,1.0625
2002-06-19T00:00:00,2.0
2006-06-29T00:00:00,2.0
2007-04-10T00:00:00,10.0
2007-03-06T00:00:00,1.0588235294117647
2007-03-30T00:00:00,1.1555555555555554
2007-07-14T00:00:00,2.7777777777777777
2007-10-28T00:00:00,1.44
2007-11-15T00:00:00,1.7727272727272727
2007-11-18T00:00:00,1.22
2007-11-22T00:00:00,1.1578947368421053
2007-11-20T00:00:00,2.6
2007-11-21T00:00:00,1.3448275862068966
2007-11-23T00:00:00,0.8888888888888888
2007-11-24T00:00:00,1.1875
2007-11-25T00:00:00,0.8
2007-11-26T00:00:00,1.3333333333333333
2007-12-23T00:00:00,1.4285714285714286
2007-12-26T00:00:00,2.875
2008-01-01T00:00:00,1.3333333333333333
2008-01-14T00:00:00,4.333333333333333
2008-01-16T00:00:00,2.611111111111111
2008-01-18T00:00:00,3.0
2008-01-18T00:00:00,1.2
2008-01-25T00:00:00,6.0
